2021년 1월 3일 일요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Seize The Day	Paul McCartney		
	4	Wild Horses (Duet With Adam Levine of Maroon 5)	Alicia Keys		
	5	Tank!	Yoko Kanno		
	6	The Return Of N.EX.T (Inst.)	넥스트		
	7	The Destruction Of The Shell : 껍질의 파괴	넥스트		
	8	Soon You’ll Get Better (Feat. The Chicks)	Taylor Swift		
	9	Be Good To Me	Steriogram		
	10	I'm Still Here	Sia		
	11	Chopin : Piano Sonata No.3 In B Minor Op.58 - IV. Finale. Presto Ma Non Tanto (쇼팽 : 피아노 소나타 3번 나단조 작품번호 58 - 4악장)	임동민		
