2021년 1월 22일 금요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Step By Step (with 윤미래)	Crush		
	4	아침의 눈	서태지		
	5	Music When The Lights Go Out	The Libertines		
	6	Put Your Records On	Ritt Momney		
	7	Fix You	Coldplay		
	8	Hey Jude	The Beatles		
	9	Amid The Falling Snow	Enya		
	10	밤	강다니엘		
	11	The Kids	Charlotte Cardin		
	12	Tchaikovsky: Serenade For String Orchestra In C Major, Op.48, TH.48 - 2. Walzer: Moderato (Tempo di valse)	St. Petersburg Philharmonic Orchestra, Vladimir Ashkenazy		
