2021년 8월 2일 월요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Death On Two Legs (Dedicated To...) (Remastered 2011)	Queen		
	4	Playaplayaplaya	서사무엘 (Samuel Seo)		
	5	"99"	Barns Courtney		
	6	Bring My Love	Starsailor		
	7	Richter : Dream 3 (In The Midst Of My Life)	Ben Russell, Yuki Numata Resnick, Max Richter		
	8	Liszt : Litanei No.1 S.562 (Am Tage Aller Seelen D.343) (Live)	선우예권		
	9	dandelion	PITTA (강형호)		
	10	Renee's Song	Bazzi		
	11	Kara Theme	Detroit Become Human OST		
