2021년 12월 2일 목요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	The Mandalorian (From "The Mandalorian: Chapter 1"/Score)	Ludwig Goransson		
	4	그대는 총천연색	신해경		
	5	울지마	브로콜리너마저		
	6	There There (The Boney King Of Nowhere)	Radiohead		
	7	California Dreamin' (Single Version)	The Mamas & The Papas		
	8	카멜레온	헨		
	9	YOU'RE THE ONE (feat. Syd)	Kaytranada		
	10	허밍버드	신온유와 김강		
	11	變わらないもの (ストリングス·バ-ジョン) / Kawaranai Mono (변하지 않는 것 Strings Ver.)	Yoshida Kiyoshi		
