2023년 3월 28일 화요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Be Good (Lion's Song)	Gregory Porter		
	4	Stella By Starlight	Arturo Sandoval		
	5	사실 나는 꽤나 괜찮은 사람일지도 (Feat. 이랑, 이혜지)	A.TRAIN		
	6	Alone in the Street	Rob, Jack Lahana, Chloe Alper		
	7	The Road To Mandalay (마음의 소리)	Robbie Williams		
	8	보옴이 오면	푸른 새벽		
	9	Massenet : Thais - Meditation (마스네 : 타이스 - 명상곡)	김봄소리 (Bomsori Kim), NFM Wrocław Philharmonic, Giancarlo Guerrero		
	10	Chamada	Tamba Trio		
	11	早春 (이른 봄, Soushun)	Kirinji		
