2023년 8월 16일 수요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Praying For Time	George Michael		
	4	Hypotheticals (B의 곡)	Lake Street Dive		
	5	소리	윤상		
	6	Undantag	Bo Kaspers Orkester		
	7	You're The First, The Last, My Everything (이스터에그를 찾아라)	Barry White		
	8	Man On The Moon (이스터에그를 찾아라)	R.E.M.		
	9	Ah Ha Ha	eundohee		
	10	온 밤 (feat. 유승우)	카코포니 (cacophony)		
	11	Cripple and the Starfish	Antony And The Johnsons		
	12	The Waves Are Not The Ocean	Pat Metheny		
