2023년 11월 18일 토요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Safe From Harm	Bebe Winans		
	4	Everything Is Going to Be OK (B의 곡)	GoGo Penguin		
	5	Ohio	King Princess		
	6	Stay	Alter Bridge		
	7	Goodbye to All That: Wave / Mad / The Opium Den / The Slide / Standing in the Swing (노래가 긴 게 죄는 아니야)	Marillion		
	8	Tijuana Taxi	Herb Alpert		
	9	Mozart : Le Nozze Di Figaro K.492 - Voi Che Sapete (모차르트 : 피가로의 결혼 - 사랑의 괴로움을 그대는 아시나요) (with embellishments by Domenico Corri)	Magdalena Kozena, Orchestra Of The Age Of Enlightenment, Sir Simon Rattle		
	10	Flowers Fall	송영주		
